event,place,team,name,time,is_prelims,meet,year,location
500 Free Men,23,Cornell,Jordan Blitz,268.49,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,24,Penn,Jacob Furlong,273.86,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,1,Harvard,Cole Kuster,260.19,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,2,Penn,Will Kamps,260.65,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,3,Dartmouth,Connor LaMastra,260.79,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,4,Brown,Lukas Scheidl,261.84,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,5,Princeton,Dylan Porges,262.04,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,6,Princeton,Levy Nathan,262.22,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,7,Princeton,Nicholas Lim,263.08,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,8,Penn,Billy Fallon,263.45,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,9,Columbia,Jack Scanlon,263.45,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,10,Princeton,John Ehling,263.65,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,11,Harvard,Noah Brune,263.76,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,12,Harvard,Zachary Snyder,264.38,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,13,Princeton,Peyton Werner,264.74,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,14,Princeton,Sam Tarter,265.04,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,15,Harvard,Corban Rawls,265.37,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,16,Harvard,Marcus Holmquist,265.65,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,17,Brown,Michael Lincoln,265.86,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,18,Brown,Riley Pestorius,266.26,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,19,Penn,Jacob Furlong,266.3,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,20,Dartmouth,Joseph Moll,267.15,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,21,Yale,Patrick Frith,267.33,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,22,Princeton,Brendan Firlie,267.59,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,23,Brown,Tyler Lu,267.74,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,24,Cornell,Jordan Blitz,267.9,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,25,Penn,Matt Haigh,268.56,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,26,Brown,Nico Ortega,268.97,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,27,Harvard,Simon Lamar,268.98,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,28,Cornell,Chris Kostelni,269.28,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,29,Cornell,Jake Lawson,269.45,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,30,Columbia,Zac Pear,269.64,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,31,Dartmouth,Tim Park,272.21,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,32,Penn,Jack McCaghren,272.23,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,33,Dartmouth,Ethan Banks,272.66,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,34,Penn,CJ Hinckley,274.9,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,35,Dartmouth,Stas Van Genderen,277.41,True,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,36,Yale,Nathan stern,279.74,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,1,Princeton,Raunak Khosla,103.01,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,2,Cornell,Taito daCosta,104.5,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,3,Harvard,Michael Zarian,104.51,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,4,Brown,Coley Sullivan,105.13,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,5,Penn,Sean Lee,105.38,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,6,Princeton,Charles Leibson,107.72,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,7,Princeton,Derek Cox,108.5,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,8,Columbia,Cole Stevens,109.87,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,9,Harvard,Jake Johnson,106.41,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,10,Harvard,William Grant,106.47,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,11,Harvard,Daniel Chang,106.75,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,12,Cornell,Ricardo Martinez,107.26,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,13,Harvard,Charles Vaughan,107.91,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,14,Penn,Boris Yang,108.43,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,15,Columbia,Hayden Liu,109.25,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,16,Brown,Benjamin Hayes,109.73,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,17,Penn,Mark McCrary,108.92,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,18,Princeton,Owen Huang,109.0,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,19,Brown,Vincent Huang,109.42,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,20,Cornell,Van Cates,110.07,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,21,Yale,Andrew Schuler,110.09,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,22,Cornell,Jacob Bass,110.36,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,23,Brown,Alex Park,110.4,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,24,Yale,Tyler Harmon,110.5,False,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,1,Princeton,Raunak Khosla,103.58,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,2,Penn,Sean Lee,104.65,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,3,Harvard,Michael Zarian,104.91,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,4,Cornell,Taito daCosta,105.36,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,5,Princeton,Charles Leibson,106.0,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,6,Brown,Coley Sullivan,106.1,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,7,Princeton,Derek Cox,106.46,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,8,Columbia,Cole Stevens,106.8,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,9,Harvard,William Grant,107.01,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,10,Harvard,Jake Johnson,107.05,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,11,Harvard,Charles Vaughan,107.7,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,12,Harvard,Daniel Chang,107.75,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,13,Cornell,Ricardo Martinez,107.96,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,14,Penn,Boris Yang,108.02,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,15,Columbia,Hayden Liu,108.27,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,16,Brown,Benjamin Hayes,108.87,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,17,Brown,Vincent Huang,109.13,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,18,Penn,Mark McCrary,109.17,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,19,Yale,Andrew Schuler,109.33,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,20,Cornell,Van Cates,109.67,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,21,Yale,Tyler Harmon,109.68,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,22,Princeton,Owen Huang,109.71,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,23,Cornell,Jacob Bass,109.8,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,24,Brown,Alex Park,109.9,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,25,Brown,Colin Arwood,109.9,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,26,Yale,Tristan Furnary,109.98,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,27,Cornell,Jack Valiquette,110.01,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,28,Columbia,Baptiste Leger,110.02,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,29,Penn,Neil Simpson,110.21,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,30,Columbia,Michael Chang,110.29,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,31,Columbia,Jonathan Cheng,110.77,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,32,Dartmouth,Connor Richmond,112.16,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,33,Columbia,Ray Yang,112.61,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,34,Yale,Sam Pekarek,113.08,True,Ivy League Championships (M),2020,"Boston, Ma"
200 IM Men,,Columbia,Nianguo Liu,,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,1,Columbia,Albert Gwo,19.37,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,2,Harvard,Umit gures,19.54,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,3,Yale,Joseph Page,19.73,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,4,Yale,Philippe Marcoux,19.91,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,5,Yale,Henry Gaissert,19.93,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,6,Columbia,Jonas Nervil Kistorp,19.96,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,7,Brown,Cody Cline,20.04,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,8,Cornell,Jack Mahoney,20.18,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,9,Harvard,MAHLON REIHMAN,20.10,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,10,Cornell,Trevor Lake,20.20,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,10,Brown,Alex Smilenov,20.20,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,12,Brown,Joon Sung,20.24,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,13,Yale,Connor Lee,20.29,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,14,Penn,Nathaniel Cunnan,20.34,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,14,Yale,Michael Blank,20.34,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,16,Dartmouth,John Hall,20.61,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,17,Princeton,Max Walther,20.27,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,18,Cornell,Dylan Curtis,20.46,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,19,Columbia,Kevin Dang,20.51,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,20,Brown,I. I. Qiao,20.57,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,21,Princeton,Nathan Yates,20.67,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,22,Penn,Matthew Dieffenthaller,20.70,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,23,Columbia,Andy Lee,20.81,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,24,Penn,Noah Pereles,20.92,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,1,Cornell,William Hrabchak,21.08,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,2,Dartmouth,Timothy Cushman,21.11,False,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,1,Columbia,Albert Gwo,19.32,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,2,Yale,Henry Gaissert,19.48,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,3,Harvard,Umit gures,19.69,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,4,Yale,Joseph Page,19.72,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,5,Yale,Philippe Marcoux,19.93,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,6,Columbia,Jonas Nervil Kistorp,20.02,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,6,Brown,Cody Cline,20.02,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,8,Cornell,Jack Mahoney,20.06,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,9,Penn,Nathaniel Cunnan,20.07,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,10,Brown,Alex Smilenov,20.11,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,11,Yale,Michael Blank,20.12,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,12,Harvard,MAHLON REIHMAN,20.13,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,13,Brown,Joon Sung,20.33,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,14,Cornell,Trevor Lake,20.35,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,14,Yale,Connor Lee,20.35,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,16,Dartmouth,John Hall,20.39,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,17,Princeton,Max Walther,20.44,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,18,Columbia,Kevin Dang,20.46,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,19,Cornell,Dylan Curtis,20.48,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,20,Penn,Matthew Dieffenthaller,20.59,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,21,Princeton,Nathan Yates,20.67,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,22,Columbia,Andy Lee,20.69,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,23,Brown,I. I. Qiao,20.73,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,24,Penn,Noah Pereles,20.87,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,25,Dartmouth,Landon Armstrong,20.93,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,26,Cornell,William Hrabchak,21.13,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,27,Dartmouth,Timothy Cushman,21.13,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,28,Brown,Jagger Stephens,21.15,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,28,Princeton,Daniel Arris,21.15,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,30,Dartmouth,Parker Hershberger,21.28,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,31,Dartmouth,Brandon Liao,21.30,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,32,Brown,Billy Knaul,21.38,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,33,Penn,Zachariah Althoff,21.48,True,Ivy League Championships (M),2020,"Boston, Ma"
50 Free Men,34,Dartmouth,Connor Bishop,21.83,True,Ivy League Championships (M),2020,"Boston, Ma"
200 Free Relay Men,1,Yale,Yale,78.09,False,Ivy League Championships (M),2020,"Boston, Ma"
200 Free Relay Men,2,Columbia,Columbia,78.5,False,Ivy League Championships (M),2020,"Boston, Ma"
200 Free Relay Men,3,Harvard,Harvard,79.43,False,Ivy League Championships (M),2020,"Boston, Ma"
200 Free Relay Men,4,Cornell,Cornell,79.51,False,Ivy League Championships (M),2020,"Boston, Ma"
200 Free Relay Men,5,Brown,Brown,79.75,False,Ivy League Championships (M),2020,"Boston, Ma"
200 Free Relay Men,6,Princeton,Princeton,79.97,False,Ivy League Championships (M),2020,"Boston, Ma"
200 Free Relay Men,7,Penn,Penn,80.5,False,Ivy League Championships (M),2020,"Boston, Ma"
200 Free Relay Men,8,Dartmouth,Dartmouth,82.15,False,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,1,Harvard,Cole Kuster,537.24,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,2,Princeton,Dylan Porges,537.68,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,3,Dartmouth,Connor LaMastra,542.23,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,4,Brown,Lukas Scheidl,542.75,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,5,Harvard,Noah Brune,543.42,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,6,Columbia,Jack Scanlon,543.63,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,7,Princeton,Levy Nathan,543.94,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,8,Princeton,Brendan Firlie,545.4,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,9,Princeton,John Ehling,545.42,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,10,Harvard,Zachary Snyder,553.12,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,11,Brown,Riley Pestorius,553.86,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,12,Princeton,Arthur Markley,554.11,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,13,Cornell,Jordan Blitz,554.18,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,14,Yale,Liam Bogart,554.46,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,15,Brown,Nico Ortega,554.53,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,16,Cornell,Jake Lawson,554.65,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,17,Columbia,Shawn Lou,554.83,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,18,Penn,Matt Haigh,555.17,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,19,Harvard,Simon Lamar,555.74,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,20,Penn,CJ Hinckley,561.58,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,21,Penn,Jack Loveless,566.23,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,22,Cornell,Chris Kostelni,569.89,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,23,Dartmouth,Ethan Banks,574.05,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,24,Dartmouth,Stas Van Genderen,577.6,True,Ivy League Championships (M),2020,"Boston, Ma"
1000 Free Men,25,Yale,Dorje Wu,595.52,True,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,1,Princeton,Raunak Khosla,221.75,False,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,2,Harvard,Michael Zarian,226.77,False,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,3,Brown,Benjamin Hayes,230.11,False,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,4,Penn,Will Kamps,231.31,False,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,5,Penn,Billy Fallon,231.92,False,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,6,Brown,Lukas Scheidl,233.18,False,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,7,Columbia,Joey Licht,235.38,False,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,8,Yale,Liam Bogart,236.45,False,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,9,Penn,Jason Schreiber,232.54,False,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,10,Princeton,Sam Tarter,233.26,False,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,11,Cornell,Owen Downs,233.76,False,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,12,Princeton,Peyton Werner,233.94,False,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,13,Cornell,Jack Valiquette,234.76,False,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,14,Cornell,Ryan Pirrung,235.4,False,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,15,Brown,Alex Park,236.01,False,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,16,Cornell,Ricardo Martinez,239.21,False,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,17,Dartmouth,Joseph Moll,232.06,False,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,18,Yale,Calvin Yang,233.07,False,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,19,Columbia,David Wang,237.12,False,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,20,Columbia,Ike Shirakata,238.34,False,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,21,Columbia,Jonathan Cheng,240.54,False,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,22,Dartmouth,Max Jones,245.7,False,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,1,Harvard,Michael Zarian,222.66,True,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,2,Princeton,Raunak Khosla,228.14,True,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,3,Penn,Will Kamps,230.19,True,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,4,Brown,Benjamin Hayes,231.04,True,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,5,Brown,Lukas Scheidl,231.36,True,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,5,Penn,Billy Fallon,231.36,True,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,7,Yale,Liam Bogart,231.96,True,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,8,Columbia,Joey Licht,233.47,True,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,9,Penn,Jason Schreiber,233.51,True,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,10,Cornell,Jack Valiquette,233.58,True,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,11,Brown,Alex Park,233.85,True,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,12,Cornell,Ricardo Martinez,234.06,True,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,13,Princeton,Sam Tarter,234.27,True,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,14,Princeton,Peyton Werner,234.28,True,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,15,Cornell,Ryan Pirrung,234.63,True,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,16,Cornell,Owen Downs,235.11,True,Ivy League Championships (M),2020,"Boston, Ma"
400 IM Men,17,Dartmouth,Joseph Moll,235.16,True,Ivy League Championships (M),2020,"Boston, Ma"
